Title,Year,Votes,Rating
Big Stan,2007,28856,6.2
Big Sur,2013,789,5.9
Big Time,1988,580,8.1
Big Time Movie,2012,855,6.9
Big Top Bunny,1951,521,6.9
Big Top Pee-wee,1988,6364,4.8
Big Trouble,1986,733,5.2
Big Trouble,2002,15998,6.5
Big Trouble in Little China,1986,71822,7.3
Big Wednesday,1978,3803,7.3
Bigfoot,1970,502,2
Bigfoot,2012,869,2.7
Bigfoot: The Lost Coast Tapes,2012,1334,4.4
Bigga Than Ben,2008,975,6.4
Bigger Stronger Faster*,2008,9293,7.7
Bigger Than Life,1956,3641,7.6
Bigger Than the Sky,2005,1182,6.2
Biggie and Tupac,2002,2531,7
Biggles,1986,1641,5.8
BijitÇ Q,2001,10021,6.9
Bijo to Ekitainingen,1958,641,6.2
Biker Boyz,2003,9632,4.5
Bikini Beach,1964,795,5.2
Bikini Girls on Ice,2009,848,3
Bikini Spring Break,2012,1032,3.1
Bikur Ha-Tizmoret,2007,9273,7.6
Bilitis,1977,928,5.6
Bill & Ted's Bogus Journey,1991,41278,6.1
Bill & Ted's Excellent Adventure,1989,70032,6.9
Bill,1981,553,7.9
Bill,2007,15824,6.4
Bill Bailey: Bewilderness,2001,517,7.9
Bill Bailey: Part Troll,2004,772,8.2
Bill Burr: Let It Go,2010,684,8
Bill Burr: Why Do I Do This?,2008,639,8
Bill Burr: You People Are All the Same.,2012,749,7.8
Bill Cosby: Himself,1983,2737,8.2
Bill Cunningham New York,2010,3037,7.9
Bill Hicks: Relentless,1992,1205,8.5
Bill Hicks: Revelations,1993,1713,8.7
Bill Hicks: Sane Man,1989,1193,8.4
Bill Maher... But I'm Not Wrong,2010,637,7.1
Bill Maher: I'm Swiss,2005,594,7.4
Bill Maher: The Decider,2007,689,7.3
Bill Maher: Victory Begins at Home,2003,560,7.2
Billa,2007,2913,7.3
Billa 2,2012,7692,6.5
Billboard Dad,1998,3001,5
Billion Dollar Brain,1967,2669,6.1
Billionaire Boys Club,1987,541,6.5
Billu,2009,5168,6
Billy Bathgate,1991,8563,5.9
Billy Budd,1962,2497,7.9
Billy Elliot,2000,81779,7.7
Billy Jack,1971,3904,6.1
Billy Liar,1963,3404,7.4
Billy Madison,1995,82625,6.4
Billy Rose's Jumbo,1962,811,6.3
Billy Two Hats,1974,650,6.2
Billy the Kid,1941,617,5.8
Billy the Kid vs. Dracula,1966,1009,3
Billy's Balloon,1998,1458,7.4
Billy's Hollywood Screen Kiss,1998,2985,7.2
Biloxi Blues,1988,10792,6.6
Bimbo's Initiation,1931,742,7.3
Bimboland,1998,675,4.2
Bin-jip,2004,31539,8.1
Bingo,1991,1879,4.5
Bingo Bongo,1982,847,5.7
Bio-Dome,1996,18617,4.3
Biohazard: Damnation,2012,11099,6.5
Bionic Showdown: The Six Million Dollar Man and the Bionic Woman,1989,543,6.3
Bionicle 2: Legends of Metru Nui,2004,715,6.3
Bionicle 3: Web of Shadows,2005,528,6.3
Bionicle: Mask of Light,2003,1400,5.8
Bionicle: The Legend Reborn,2009,571,5.4
Bir Avu¡ Deniz,2011,584,4.4
Bir tat bir doku,2001,2499,9
Bir zamanlar Anadolu'da,2011,18976,7.8
Bird,1988,7513,7.2
Bird of Paradise,1932,597,6.1
Bird on a Wire,1990,24859,5.8
BirdWatchers - La terra degli uomini rossi,2008,592,6.9
Birdemic 2: The Resurrection,2013,964,2.3
Birdemic: Shock and Terror,2010,7710,1.9
Birdman of Alcatraz,1962,10009,7.8
Birds Anonymous,1957,544,7.6
Birds of America,2008,4307,6.2
Birdy,1984,14932,7.3
Birth,2004,25350,6
Birthday Girl,2001,19358,6.1
Biruma no tategoto,1956,3198,7.9
Bis ans Ende der Welt,1991,5562,7
BishŸjo senshi SÕrÇ M?n super S: SÕrÇ 9 senshi sh?ketsu! Burakku dor”mu hŸru no kiseki,1995,636,7.3
Bist,2009,503,6.6
Bitch Slap,2009,10378,4.5
Bitchkram,2012,579,6
Bite the Bullet,1975,2962,6.8
Bitka na Neretvi,1969,1782,7.3
Bitten,2008,1580,5.2
Bitter Feast,2010,1090,5.3
Bitter Harvest,1993,514,4.5
Bitter Moon,1992,20370,7.1
Bitter Victory,1957,937,7
Bittersweet Motel,2000,560,7.9
Biutiful,2010,51822,7.5
Biwi No. 1,1999,1884,5.4
Biyeolhan geori,2006,3223,7.6
Bizim aile,1975,1689,8.2
Bizim b∏y∏k ¡aresizligimiz,2011,1464,6.9
Bjarnfre?arson,2009,510,7.5
Bjàrk: Volumen,1999,760,8.2
Black,2005,17206,8.2
Black Angel,1946,1297,7.1
Black Beauty,1971,635,5.3
Black Beauty,1994,5611,6.6
Black Belt Jones,1974,1333,6.4
Black Butterflies,2011,1362,6.1
Black Cadillac,2003,2113,6.1
Black Caesar,1973,1759,6.4
Black Christmas,1974,17690,7.2
Black Christmas,2006,17191,4.5
Black Circle Boys,1997,691,4.9
Black Dahlia,2006,823,1.3
Black Dawn,2005,2689,3.9
Black Death,2010,28199,6.4
Black Devil Doll,2007,722,4.3
Black Dog,1998,5654,5.2
Black Dragons,1942,697,4.2
Black Dynamite,2009,29429,7.4
Black Eagle,1988,4195,3.5
Black Friday,1940,915,6.3
Black Friday,2004,4950,8.5
Black Gold,2006,696,7.1
Black Gold,2011,7233,6.7
Black Hawk Down,2001,231557,7.7
Black Ice,1994,608,6.6
Black Irish,2007,2117,7.1
Black Knight,2001,24970,4.6
Black Legion,1937,1478,7
Black Magic,1944,888,7.1
Black Mama White Mama,1973,1418,5.6
Black Mask 2: City of Masks,2002,1341,3.6
Black Moon,1975,2470,6.4
Black Moon Rising,1986,2976,5.4
Black Narcissus,1947,12970,8
Black Nativity,2013,910,3.9
Black Out,2012,1267,6.5
Black Pond,2011,570,6
Black Rain,1989,32926,6.6
Black Rainbow,1989,832,6
Black River,2001,1035,6
Black Robe,1991,4728,7.1
Black Rock,2012,4110,4.7
Black Roses,1988,660,4
Black Samurai,1977,561,3.5
Black Scorpion,1995,724,4.7
Black Scorpion II: Aftershock,1997,523,3
Black Sheep,1996,24754,6.1
Black Sheep,2006,30433,5.8
Black Snake Moan,2006,46285,7.1
Black Sunday,1977,4267,6.8
Black Swan,2010,424737,8
Black Swarm,2007,678,3.9
Black Tar Heroin: The Dark End of the Street,2000,673,8
Black Water,2007,7542,6
Black Widow,1954,962,6.8
Black Widow,1987,5482,6.3
Black and White,1999,4644,5
Black and White,1999,884,5.2
Black and White,2002,579,6.7
Black or White,1991,1141,7.6
BlackJack,1990,816,5.5
Blackadder Back & Forth,1999,6684,7.6
Blackadder's Christmas Carol,1988,5637,8
Blackadder: The Cavalier Years,1988,2107,8
Blackball,2003,3173,5.5
Blackballed: The Bobby Dukes Story,2004,1037,6.5
Blackbeard,2006,871,5.7
Blackbeard's Ghost,1968,3049,6.7
"Blackbeard, the Pirate",1952,658,6.2
Blackbird,2012,695,7.1
Blackboard Jungle,1955,5439,7.5
Blackfish,2013,22681,8.1
Blackjack,1998,2861,4.9
Blackmail,1929,6029,7.1
Blackout,2008,2683,5.1
Blackrock,1997,718,6.4
Blacksmith Scene,1893,1019,6.3
Blackthorn,2011,5582,6.6
Blackwater Valley Exorcism,2006,621,3.6
Blackwoods,2001,1933,2.7
Blacula,1972,2902,5.5
Blade,1998,147925,7.1
Blade II,2002,122095,6.7
Blade Runner,1982,357097,8.3
Blade af Satans bog,1920,704,6.8
Blade: Trinity,2004,102084,5.9
Blades of Glory,2007,101016,6.4
Blame It on Rio,1984,6944,5.6
Blame It on the Bellboy,1992,1866,5.4
Blancanieves,2012,5315,7.5
Blanche,2002,628,3
Blank Check,1994,11452,5
Blankman,1994,5546,4.7
Blast,1997,941,5.5
Blast,2004,1311,4.8
Blast from the Past,1999,41000,6.5
Blast of Silence,1961,2305,7.7
Blaze,1989,2595,5.9
Blazing Saddles,1974,75212,7.8
Bleach: Memories of Nobody,2006,1883,7.3
Bleak Moments,1971,563,7.2
Bled,2009,825,3.2
Bleeder,1999,3654,6.7
Bleeders,1997,2092,3.7
"Bless Me, Ultima",2013,701,6.4
Bless the Beasts & Children,1971,898,6.6
Bless the Child,2000,10827,5
Blessed,2004,1767,4.2
Blessed,2009,539,6.9
Blind,2007,756,7.4
Blind Date,1984,509,5.1
Blind Date,1987,14078,5.8
Blind Date,2007,683,5.9
Blind Dating,2006,7851,6.1
Blind Faith,1998,508,7.4
Blind Flight,2003,610,7
Blind Fury,1989,8574,6.2
Blind Horizon,2003,3714,5.7
Blind Husbands,1919,794,6.7
Blind Justice,1994,502,5.7
Blind Side,1993,1142,5.1
Blind Terror,1971,1610,6.6
Blindman,1971,658,6.6
Blindness,2008,50459,6.6
Blindsight,2006,511,7.3
Blink,1994,5574,6.1
Blinkende lygter,2000,11014,7.7
BlinkyTM,2011,1174,7.1
Bliss,1985,976,7
Bliss,1997,1493,6
Blithe Spirit,1945,2960,7.1
Blitz,2011,52460,6.2
Blitz Wolf,1942,719,7.1
Blizna,1976,789,6.8
Blizzard,2003,641,5.6
Block Party,2005,7092,7.2
Block-Heads,1938,1858,7.7
Bloedbroeders,2008,564,6.6
Blonde Ambition,2007,4506,3.8
Blonde Crazy,1931,639,7.2
Blonde Venus,1932,2383,7.3
Blonde and Blonder,2007,2832,2.9
Blondie of the Follies,1932,819,8
Blood & Donuts,1995,837,6
Blood,2012,1687,6
Blood Alley,1955,1642,6.2
Blood Beach,1980,1283,4.2
Blood Brother,2013,608,8.1
Blood Car,2007,1951,5.5
Blood Diamond,2006,297372,8
Blood Diner,1987,2059,4.9
Blood Dolls,1999,1118,3.7
Blood Feast,1963,3474,5
Blood Feast 2: All U Can Eat,2002,1035,5.9
Blood Freak,1972,991,3.6
Blood Into Wine,2010,801,7.2
Blood Money,2012,506,4.4
Blood Night: The Legend of Mary Hatchet,2009,1512,4.6
Blood Oath,1990,587,6.8
Blood Out,2011,3249,4.6
Blood Ranch,2006,1986,6.7
Blood Red,1989,544,2.9
Blood River,2009,1060,5.4
Blood Runs Cold,2011,931,4.2
Blood Simple.,1984,55570,7.7
Blood Tea and Red String,2006,631,6.9
Blood Tide,1982,761,3.6
Blood Ties,2013,4419,6.5
Blood Trails,2006,1289,3.6
Blood Work,2002,29148,6.4
Blood and Bone,2009,19625,6.7
Blood and Chocolate,2007,13718,5.4
Blood and Sand,1922,880,7.4
Blood and Sand,1941,1239,7
Blood and Wine,1996,6715,6
Blood for Dracula,1974,3660,6.2
Blood from the Mummy's Tomb,1971,1418,5.8
Blood of Dracula,1957,577,3.7
Blood of Dracula's Castle,1969,600,3
Blood of My Blood,2011,1103,7.5
Blood of Redemption,2013,765,4.5
Blood on the Moon,1948,1120,6.9
Blood on the Sun,1945,1195,6.3
"Blood, Guts, Bullets and Octane",1998,931,5.5
Blood: The Last Vampire,2000,8400,6.8
Blood: The Last Vampire,2009,11976,5.3
BloodRayne,2005,28161,2.8
BloodRayne II: Deliverance,2007,7546,2.6
Bloodbath at the House of Death,1984,726,5.2
Bloodbrothers,1978,511,5.8
Bloodfist,1989,676,4.5
Bloodhounds of Broadway,1989,813,5.6
Bloodline,1979,875,4.7
Bloodlust!,1961,1607,2.9
Bloodlust: Subspecies III,1994,792,6
Bloodmatch,1991,615,6.4
Bloodmonkey,2007,871,3
Bloodrayne: The Third Reich,2011,4034,3
Bloodsport,1988,44277,6.8
Bloodsport 2,1996,2015,4.7
Bloodsport III,1996,892,4
Bloodsport: The Dark Kumite,1999,736,2.6
Bloodstone: Subspecies II,1993,1012,6.1
Bloodsuckers,2005,1429,4.5
Bloodwork,2012,775,5
Bloody Birthday,1981,1811,5.7
Bloody Mallory,2002,888,4.5
Bloody Mama,1970,1942,5.6
Bloody Mary,2006,1000,3.6
Bloody Murder,2000,1248,2.8
Bloody Murder 2: Closing Camp,2003,809,4.4
Bloody Sunday,2002,16894,7.7
Bloomington,2010,2343,6.1
Blossoms & Blood,2003,644,6.3
Blossoms in the Dust,1941,968,7
Blotto,1930,801,7.5
Blow,2001,158978,7.6
Blow Dry,2001,6193,6.2
Blow Job,1963,594,5
Blow Out,1981,20682,7.3
Blowback,2000,502,4.6
Blown Away,1993,3157,5.1
Blown Away,1994,19873,6.1
Blowup,1966,33024,7.7
Blubberella,2011,1452,2.6
Blue,1993,895,7.1
Blue,2009,2266,3.6
Blue Caprice,2013,2836,6.1
Blue Car,2002,2841,6.8
Blue Chips,1994,8156,6
Blue City,1986,640,4.3
Blue Collar,1978,3612,7.5
Blue Collar Comedy Tour Rides Again,2004,1295,7.1
Blue Collar Comedy Tour: One for the Road,2006,731,7.4
Blue Collar Comedy Tour: The Movie,2003,3491,7.2
Blue Crush,2002,22520,5.6
Blue Crush 2,2011,2261,5.6
Blue Demon,2004,750,2.9
Blue Gold: World Water Wars,2008,807,7.8
Blue Hawaii,1961,3186,6
Blue Hill Avenue,2001,859,6.5
Blue Ice,1992,1122,5.1
Blue Jasmine,2013,87426,7.4
Blue Juice,1995,1911,5.2
Blue Lagoon: The Awakening,2012,6153,5.8
Blue Like Jazz,2012,2080,6
Blue Murder,1995,511,8.3
Blue Murder at St. Trinian's,1957,634,6.5
Blue Planet,1990,634,7.3
Blue Ruin,2013,3647,7.3
Blue Skies,1946,821,6.6
Blue Sky,1994,4429,6.4
Blue Smoke,2007,824,5.7
Blue State,2007,1763,6
Blue Steel,1934,879,5.4
Blue Steel,1989,7698,5.6
Blue Streak,1999,51440,6.2
Blue Sunshine,1978,1345,6
Blue Thunder,1983,10304,6.3
Blue Valentine,2010,110855,7.4
Blue Velvet,1986,102401,7.8
Blue in the Face,1995,6713,6.7
Blue-Eyed Butcher,2012,618,5.6
Bluebeard,1944,1080,6.1
Bluebeard,1972,758,5.6
Bluebeard's Eighth Wife,1938,1713,7.4
Blueberry,2004,8482,5.2
Blueprint,2003,667,5.8
Blues Brothers 2000,1998,20744,4.8
Blues Harp,1998,758,7.3
Blues in the Night,1941,580,6.9
Bluff storia di truffe e di imbroglioni,1976,1399,7.6
Bluffmaster!,2005,3499,6.8
Blume in Love,1973,504,6.3
Blutgletscher,2013,757,5.7
Blutzbr∏daz,2012,1067,6.2
Bl¬ m nd,2008,1950,5.8
Bo,2010,904,6
Bo Burnham: what.,2013,663,8.2
Bo bui gai wak,2006,6654,6.7
Bo chi tung wah,2008,1274,6.7
Boa vs. Python,2004,2894,2.8
Boarding Gate,2007,2622,5.1
Boat,2007,643,6
Boat Trip,2002,23402,4.8
Bob & Carol & Ted & Alice,1969,3165,6.5
Bob Funk,2009,705,5.3
Bob Hope Winterfest Christmas Show,1987,526,8.4
Bob Roberts,1992,10488,7.1
Bob Saget: That Ain't Right,2007,551,6.3
Bob le flambeur,1956,5935,7.8
Bob the Butler,2005,2888,5.7
Bobby,1973,868,7.2
Bobby,2006,35583,7.1
Bobby Deerfield,1977,2377,5.9
Bobby Fischer Against the World,2011,3911,7.4
Bobby Jones: Stroke of Genius,2004,2898,6.6
Bobule,2008,520,6.5
Boca a boca,1995,1174,6.7
Boccaccio '70,1962,2046,7.2
Bodas de sangre,1981,875,7.5
"Bodies, Rest & Motion",1993,1834,5.5
Body Armour,2007,717,4
Body Bags,1993,3942,5.9
Body Count,1998,1383,5.5
Body Double,1984,15918,6.7
Body Heat,1981,19393,7.4
Body Melt,1993,1106,4.8
Body Parts,1991,2473,5.4
Body Shots,1999,4653,5
Body Slam,1986,617,5
Body Snatchers,1993,11734,5.9
Body and Soul,1947,2658,7.8
Body of Evidence,1993,9757,4.3
Body of Lies,2008,140260,7.1
Body sob 19,2007,601,6.7
Bodyguard,2011,10871,4.4
Bodysong,2003,546,6.9
"Boeing, Boeing",1965,1470,6.3
Bogus,1996,4601,5.2
Boh lei chun,1999,7195,6
Boiler Room,2000,35671,7
Boiling Point,1993,4009,4.9
Boj na Kosovu,1989,1118,7.5
Bojhena Se Bojhena,2012,554,7.8
Boksuneun naui geot,2002,36004,7.7
Boku no hatsukoi wo kimi ni sasagu,2009,808,7.4
Boku no kanojo wa saibŸgu,2008,2191,7.1
Bol,2011,4723,8.2
Bol Bachchan,2012,4065,5.5
Bolero,1984,3751,2.7
Bolivia,2001,691,7.4
Bollywood - Indiens klingendes Kino,2005,636,9.9
Bollywood Bound,2003,867,8.9
Bollywood Remixed - Das indische Kino erobert den Westen,2004,636,9.9
Bollywood for Beginners,2002,633,9.9
Bollywood im Alpenrausch,2000,836,9.9
Bollywood/Hollywood,2002,2095,6.1
Bolt,2008,111244,7
Bom yeoreum gaeul gyeoul geurigo bom,2003,46861,8.1
Bomb the System,2002,850,6.6
Bombay Beach,2011,830,7.1
Bombay Talkies,2013,2065,6.8
Bombay to Goa,1972,501,6.9
Bomber,1982,1744,6.2
Bombshell,1933,1209,7.4
Bommarillu,2006,2629,8
Bomnaleun ganda,2001,965,7.3
"Bon Cop, Bad Cop",2006,7568,7
Bon Voyage,1944,990,6.4
"Bon Voyage, Charlie Brown and Don't Come Back!!",1980,1561,7.3
Bon app»tit,2010,700,6.1
Bon voyage,2003,3825,6.9
Bonanno: A Godfather's Story,1999,640,6.7
Bond of Silence,2010,606,6.1
Bonded by Blood,2010,1483,5.4
Bone,1972,515,7
Bone Daddy,1998,933,5.4
Bone Dry,2007,975,5.6
Bone Eater,2007,877,2.7
Bone Sickness,2004,745,3.7
Bones,2001,5021,4
Bones Brigade: An Autobiography,2012,1266,8
Bongwater,1997,3337,5.5
Bonjour tristesse,1958,2373,7
Bonneville,2006,1998,6.1
Bonnie Scotland,1935,1109,6.8
Bonnie and Clyde,1967,67300,7.9
Bons∑i,2011,614,6.3
Boo,2005,3581,4.4
Boo-dang-geo-rae,2010,768,6.7
Boobs in the Woods,1950,535,7.5
Boogeyman,2005,23052,4.1
Boogeyman 2,2007,5577,5.1
Boogeyman 3,2008,3159,4.9
Boogeyman II,1983,713,1.9
Boogeymen: The Killer Compilation,2001,987,6.2
Boogie,2008,1470,7.3
Boogie Nights,1997,151446,7.9
Boogie Woogie,2009,2514,5.3
"Boogie, el aceitoso",2009,728,6.6
Book Revue,1946,748,7.1
Book chon bang hyang,2011,898,7
Book of Blood,2009,4974,5.3
Book of Dragons,2011,765,6.2
Book of Love,1990,731,6
Book of Love,2004,1339,5.4
Book of Shadows: Blair Witch 2,2000,25588,4
Bookies,2003,1715,6
Bool-kkott-cheo-reom na-bi-cheo-reom,2009,700,6.5
Boom,1968,772,5.7
Boom,2003,890,2.4
Boom Town,1940,1832,7.1
Boomerang,1992,16574,5.3
Boomerang,2001,573,7.1
Boomerang!,1947,2182,7.3
Boot Camp,2008,5979,6
Bootmen,2000,1779,6.2
Booty Call,1997,5437,5.2
Booy-E Pirahan-E Yusef,1995,622,6.7
Bopha!,1993,646,6.6
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,245748,7.3
Bordello of Blood,1996,8861,5.2
Border,1997,3395,7.8
Border Incident,1949,1147,7.1
Borderland,2007,6959,5.6
Borderline,1950,564,6.1
Borderline,1980,892,6
Borderline,2002,1037,5.3
Borderline,2008,816,6.7
Bordertown,1935,824,7.2
Bordertown,2006,7162,6
Borealis,2013,675,6.4
Borgman,2013,3773,6.9
Boris - Il film,2011,875,6.8
Boris and Natasha,1992,574,4.5
Born American,1986,1229,4.5
Born Bad,2011,559,4.5
Born Free,1966,3810,7.3
Born Innocent,1974,530,6.5
Born Into Brothels: Calcutta's Red Light Kids,2004,6469,7.8
Born Rich,2003,1148,6.5
Born Romantic,2000,1194,6.5
Born Yesterday,1950,6144,7.7
Born Yesterday,1993,2813,5
Born in East L.A.,1987,3823,5.8
Born of Hope,2009,1421,6.3
Born on the Fourth of July,1989,62091,7.2
Born to Be Bad,1934,696,6.3
Born to Be Bad,1950,1099,6.7
Born to Be Wild,1995,998,4.9
Born to Be Wild,2011,2020,7.5
Born to Dance,1936,700,6.8
Born to Kill,1947,2500,7.3
Born to Race,2011,4035,6.1
Born to Raise Hell,2010,2484,4.5
Born to Ride,2011,573,3.5
Born to Win,1971,1069,5.8
Born to the West,1937,515,5.8
Bornova Bornova,2009,961,7
Borotalco,1982,733,6.8
Borrowed Hearts,1997,1055,6.9
Borsalino,1970,1728,7.1
Borsalino and Co.,1974,917,6.2
Borstal Boy,2000,1756,6.8
Bosque de sombras,2006,3986,5.7
Boss,2013,3056,5.2
Boss Engira Baskaran,2010,816,7.4
Boss Nigger,1975,1466,7
Boss of Bosses,2001,733,6.6
Boss'n Up,2005,560,4.8
Bossa Nova,2000,1469,6.5
Botched,2007,4998,5.8
Botte di Natale,1994,2046,6.1
Bottle Rocket,1994,2553,7.1
Bottle Rocket,1996,42238,7.2
Bottle Shock,2008,10008,6.9
Bottom Live,1993,619,8.2
Bottom Live: The Big Number 2 Tour,1995,521,8
Bottoms Up,2006,5588,2.1
Bou ying,2011,569,5.9
Boudica,2003,738,5.4
Boudu,2005,959,5.4
Boudu sauv» des eaux,1932,3106,7.6
Bounce,2000,15293,5.7
Bound,1996,34722,7.5
Bound by Honor,1993,19282,7.9
Bound for Glory,1976,2879,7.4
Boundin',2003,6704,7.1
Bounty Killer,2013,3452,5.4
Boutique,2003,1149,7.1
Bowery at Midnight,1942,543,5.3
Bowfinger,1999,50215,6.4
Bowling for Columbine,2002,107213,8.1
Box Office 3D,2011,654,2
Box of Moon Light,1996,3969,7.3
Box of Shadows,2011,1351,4.8
Boxcar Bertha,1972,5040,6.1
Boxing Helena,1993,8312,4.4
Boy,2010,5368,7.4
Boy A,2007,29210,7.7
Boy Culture,2006,3584,7
Boy Eats Girl,2005,3010,5.1
Boy Interrupted,2009,859,8
Boy Meets Girl,1984,1168,7.1
Boy Meets Girl,1994,584,5.7
Boy Toy,2011,944,4.3
Boy Wonder,2010,6288,6.9
Boy and Bicycle,1956,765,5.9
Boy on a Dolphin,1957,765,6.2
Boy s tenyu,2005,990,6.2
Boy s tenyu II. Revansh,2007,535,6.4
"Boy, Did I Get a Wrong Number!",1966,620,5.4
BoyTown,2006,663,5.3
Boycott,2001,604,7.3
Boyhood,2014,880,8.8
Boys,1996,2797,4.7
Boys,2003,1980,7.3
Boys Briefs 2,2002,1141,8.1
Boys Don't Cry,1999,64861,7.6
Boys Town,1938,3335,7.3
Boys and Girls,2000,11724,5.3
Boys on the Side,1995,8521,6.3
Boys' Night Out,1962,1233,6.6
Boyz n the Hood,1991,73575,7.8
Bra Boys,2007,1005,6.1
Braca po materi,1988,535,7.8
Braddock: Missing in Action III,1988,3481,4.4
Brain Damage,1988,4929,6.7
Brain Dead,1990,2177,6
Brain Dead,2007,803,5.4
Brain Donors,1992,3066,7
Brain Smasher... A Love Story,1993,1368,5.7
Braindead,1987,1268,6.8
Braindead,1992,65535,7.6
Brainscan,1994,6986,6
Brainstorm,1983,7154,6.5
Brake,2012,7986,6.1
Bran Nue Dae,2009,1193,6.3
Brancaleone alle crociate,1970,860,7.4
Brand Upon the Brain! A Remembrance in 12 Chapters,2006,2430,7.4
Brandbilen som fàrsvann,1993,729,5.8
Branded,2012,6444,4.7
Brando,2007,508,8.1
Brannigan,1975,2908,6
Brass Target,1978,668,5.9
Brassed Off,1996,14215,7.1
Brat,1997,7330,8
Brat 2,2000,5331,7.9
Brats,1930,950,7.5
Bratz,2007,12444,2.5
Bratz: Passion 4 Fashion - Diamondz,2006,2934,1.3
Brave,2012,172531,7.2
Brave Little Tailor,1938,1079,7.6
Brave New Girl,2004,719,5
Brave New World,1998,1332,5.2
Brave Story,2006,787,6.7
Braveheart,1995,535400,8.4
Bravo Two Zero,1999,2827,6.9
Brazil,1985,126859,8
Breach,2007,47795,7.1
Bread and Roses,2000,4008,7.1
BreadCrumbs,2011,523,3.2
Break Ke Baad,2010,1934,5
Break Up,1998,1301,5.1
Breakaway,2011,1562,5.7
Breakdown,1997,32865,6.9
Breaker! Breaker!,1977,1756,3.7
Breakfast at Tiffany's,1961,93393,7.8
Breakfast of Champions,1999,6459,4.6
Breakfast on Pluto,2005,15208,7.3
Breakfast with Scot,2007,2038,6.8
Breakheart Pass,1975,3377,6.8
Breakin',1984,3616,5.5
Breakin' 2: Electric Boogaloo,1984,2241,4.7
Breakin' All the Rules,2004,3764,5.5
Breaking Away,1979,14646,7.8
Breaking Dawn,2004,1281,5.7
Breaking Glass,1980,733,6.9
Breaking In,1989,1043,6.2
Breaking Point,2009,501,4.9
Breaking Up,1997,2051,4.9
Breaking Upwards,2009,996,6.2
Breaking Wind,2012,2329,2.6
Breaking and Entering,2006,18141,6.6
Breaking the Girls,2013,1648,4.9
Breaking the Magician's Code: Magic's Biggest Secrets Finally Revealed,1997,510,7.9
Breaking the Waves,1996,39512,7.9
Breakout,1975,1845,6.1
Breakout,2013,1217,4
Breast Men,1997,3690,5.8
Breathe In,2013,4071,6.5
Breathing Room,2008,2396,4.4
Breathless,1983,5459,5.7
Breathless,2012,792,4.9
Breeders,1986,1268,3.3
Breeders,1997,595,2.6
Breezy,1973,2336,7
Bremenskie muzykanty,1969,591,8.1
Brenda Starr,1989,716,4.5
Brestskaya krepost,2010,4954,7.5
Brewster McCloud,1970,2466,7
Brewster's Millions,1945,526,6.7
Brewster's Millions,1985,23892,6.4
Brian's Song,1971,5112,7.6
Brian's Song,2001,1044,6.8
Briar Patch,2003,1159,4.1
Brice de Nice,2005,3522,4.9
Brick,2005,73064,7.5
Brick Lane,2007,2292,6.7
Brick Mansions,2014,4556,6.1
Bride & Prejudice,2004,14889,6.2
Bride Flight,2008,1804,7.1
Bride Wars,2009,55648,5.3
Bride of Chucky,1998,32482,5.3
Bride of Frankenstein,1935,25971,7.9
Bride of Re-Animator,1989,7560,6.2
Bride of the Gorilla,1951,630,4.3
Bride of the Monster,1955,4643,4.1
Bridegroom,2013,1891,8
Brideless Groom,1947,605,7.2
Brideshead Revisited,2008,8320,6.7
Bridesmaids,2011,170628,6.9
Bridge of Dragons,1999,1744,4.5
Bridge to Terabithia,2007,86592,7.2
Bridget Jones's Diary,2001,130257,6.7
Bridget Jones: The Edge of Reason,2004,53101,5.8
Brief Encounter,1945,21852,8.1
Brief Interviews with Hideous Men,2009,2577,5.7
Brigada Diverse intra ”n actiune,1970,853,8.4
Brigada: Naslednik,2012,548,3.5
Brigadoon,1954,4990,6.9
Brigham City,2001,920,7.2
Brigham Young,1940,565,6.6
Bright Eyes,1934,1152,7.2
Bright Leaf,1950,540,6.8
"Bright Lights, Big City",1988,5007,5.6
Bright Star,2009,17642,7
Bright Young Things,2003,3917,6.7
Brighton Beach Memoirs,1986,2285,6.8
Brighton Rock,1947,3161,7.4
Brighton Rock,2010,4116,5.8
Brilliantlove,2010,621,4.7
Brilliantovaya ruka,1969,5735,8.3
Brimstone & Treacle,1982,1050,6.4
Brindaavanam,2010,952,7.1
Bring It On,2000,57647,5.9
Bring It On: All or Nothing,2006,11035,5.6
Bring It On: Fight to the Finish,2009,4593,5.2
Bring It On: In It to Win It,2007,6755,5.2
Bring It on Again,2004,6067,4.2
Bring Me the Head of Alfredo Garcia,1974,10844,7.6
Bringing Down the House,2003,26481,5.5
Bringing Out the Dead,1999,46999,6.8
Bringing Up Baby,1938,37940,8.1
Bringing Up Bobby,2011,1266,5.2
Brink!,1998,3178,7.1
Britannia Hospital,1982,1526,6.3
Britannic,2000,897,5.1
Britney Spears Live from Las Vegas,2001,676,6.6
Britney: For the Record,2008,580,7.5
Bro',2012,619,3.6
Broadcast News,1987,17960,7.2
Broadway Bill,1934,548,6.7
Broadway Danny Rose,1984,14879,7.5
Broadway Melody of 1936,1935,824,6.9
Broadway Melody of 1938,1937,612,6.8
Broadway Melody of 1940,1940,1238,7.4
Broc»liande,2003,545,3.3
Broderskab,2009,1724,7.1
Brodeuses,2004,1201,7
Brokeback Mountain,2005,214402,7.7
Brokedown Palace,1999,16335,6.4
Broken,1992,748,7.9
Broken,2006,1088,5.8
